raw_received_timestamp_ms,feature_extraction_timestamp_ms,model_prediction_timestamp_ms,pair_seq,predicted_activity,risk_status,alert_triggered,risky_counter,sensor1_neutral_ax,sensor1_neutral_ay,sensor1_neutral_az,sensor2_neutral_ax,sensor2_neutral_ay,sensor2_neutral_az
0,1,4,150,sitting,Safe,No,0,,,,,,
326,326,327,162,sitting,Safe,No,0,,,,,,
742,742,743,174,sitting,Safe,No,0,,,,,,
1079,1079,1080,186,sitting,Safe,No,0,,,,,,
1304,1304,1305,198,walking,Safe,No,0,,,,,,
1563,1563,1564,210,walking,Safe,No,0,,,,,,
1889,1889,1890,222,walking,Safe,No,0,,,,,,
2170,2171,2171,234,elbow_flexion,Risky,No,1,,,,,,
2565,2565,2565,246,elbow_flexion,Risky,No,2,,,,,,
2756,2756,2756,258,sitting,Safe,No,0,,,,,,
3059,3059,3060,270,sitting,Safe,No,0,,,,,,
3476,3476,3477,282,sitting,Safe,No,0,,,,,,
3734,3734,3735,294,sitting,Safe,No,0,,,,,,
4094,4094,4095,306,sitting,Safe,No,0,,,,,,
4376,4376,4377,318,sitting,Safe,No,0,,,,,,
4679,4679,4680,330,sitting,Safe,No,0,,,,,,
4983,4983,4984,342,sitting,Safe,No,0,,,,,,
5287,5287,5287,354,sitting,Safe,No,0,,,,,,
5770,5771,5771,366,sitting,Safe,No,0,,,,,,
5950,5951,5951,378,sitting,Safe,No,0,,,,,,
6187,6187,6187,390,sitting,Safe,No,0,,,,,,
6535,6536,6536,402,sitting,Safe,No,0,,,,,,
6806,6806,6806,414,sitting,Safe,No,0,,,,,,
7098,7098,7099,426,sitting,Safe,No,0,,,,,,
7278,7278,7279,438,sitting,Safe,No,0,,,,,,
7548,7548,7549,450,sitting,Safe,No,0,,,,,,
7919,7919,7920,462,sitting,Safe,No,0,,,,,,
8234,8234,8235,474,sitting,Safe,No,0,,,,,,
8943,8943,8944,486,sitting,Safe,No,0,,,,,,
9798,9798,9799,498,pronation,Safe,No,0,,,,,,
10676,10676,10676,510,pronation,Safe,No,0,,,,,,
11114,11114,11115,522,pronation,Safe,No,0,,,,,,
11575,11575,11576,534,pronation,Safe,No,0,,,,,,
12340,12340,12341,546,pronation,Safe,No,0,,,,,,
12903,12903,12904,558,pronation,Safe,No,0,,,,,,
14174,14174,14175,570,pronation,Safe,No,0,,,,,,
14691,14692,14692,582,pronation,Safe,No,0,,,,,,
14973,14973,14974,594,pronation,Safe,No,0,,,,,,
15311,15311,15311,606,pronation,Safe,No,0,,,,,,
15535,15536,15536,618,pronation,Safe,No,0,,,,,,
15749,15749,15750,630,pronation,Safe,No,0,,,,,,
16131,16132,16132,642,pronation,Safe,No,0,,,,,,
16390,16390,16391,654,pronation,Safe,No,0,,,,,,
16750,16751,16751,666,elbow_flexion,Risky,No,1,,,,,,
16942,16942,16943,678,elbow_flexion,Risky,No,2,,,,,,
17200,17200,17201,690,elbow_flexion,Risky,Yes,3,,,,,,
17504,17504,17505,702,elbow_flexion,Risky,Yes,4,,,,,,
17778,17778,17779,714,elbow_flexion,Risky,Yes,5,,,,,,
18067,18067,18068,726,elbow_flexion,Risky,Yes,6,,,,,,
18415,18416,18416,738,elbow_flexion,Risky,Yes,7,,,,,,
18696,18696,18697,750,elbow_flexion,Risky,Yes,8,,,,,,
19090,19091,19091,762,elbow_flexion,Risky,Yes,9,,,,,,
19394,19394,19395,774,sitting,Safe,No,0,,,,,,
19686,19687,19687,786,sitting,Safe,No,0,,,,,,
19934,19934,19935,798,sitting,Safe,No,0,,,,,,
20148,20148,20149,810,sitting,Safe,No,0,,,,,,
20463,20463,20464,822,elbow_flexion,Risky,No,1,,,,,,
20744,20744,20745,834,elbow_flexion,Risky,No,2,,,,,,
21127,21127,21128,846,elbow_flexion,Risky,Yes,3,,,,,,
21442,21442,21443,858,elbow_flexion,Risky,Yes,4,,,,,,
21847,21847,21847,870,elbow_flexion,Risky,Yes,5,,,,,,
22510,22511,22511,882,sitting,Safe,No,0,,,,,,
22983,22983,22983,894,elbow_flexion,Risky,No,1,,,,,,
23624,23624,23625,906,elbow_flexion,Risky,No,2,,,,,,
24074,24074,24075,918,elbow_flexion,Risky,Yes,3,,,,,,
24411,24411,24412,930,elbow_flexion,Risky,Yes,4,,,,,,
24839,24839,24840,942,elbow_flexion,Risky,Yes,5,,,,,,
25154,25154,25155,954,elbow_flexion,Risky,Yes,6,,,,,,
25570,25570,25571,966,sitting,Safe,No,0,,,,,,
26110,26110,26111,978,sitting,Safe,No,0,,,,,,
27078,27078,27079,990,sitting,Safe,No,0,,,,,,
28844,28844,28845,1002,sitting,Safe,No,0,,,,,,
29834,29834,29835,1014,sitting,Safe,No,0,,,,,,
30576,30577,30577,1026,sitting,Safe,No,0,,,,,,
30824,30824,30825,1038,sitting,Safe,No,0,,,,,,
31071,31071,31072,1050,sitting,Safe,No,0,,,,,,
31443,31443,31444,1062,sitting,Safe,No,0,,,,,,
31690,31690,31691,1074,sitting,Safe,No,0,,,,,,
32050,32050,32051,1086,sitting,Safe,No,0,,,,,,
32343,32343,32344,1098,sitting,Safe,No,0,,,,,,
32748,32748,32749,1110,sitting,Safe,No,0,,,,,,
33231,33232,33232,1122,sitting,Safe,No,0,,,,,,
33479,33480,33480,1134,sitting,Safe,No,0,,,,,,
34019,34019,34020,1146,sitting,Safe,No,0,,,,,,
